"source","target","ligand.complex","ligand","receptor.complex","receptor","receptor.prop","ligand.prop","ligand.scaled","receptor.scaled","weight_sc","consensus_rank"
"5","6","GDF11","GDF11","BMPR1A","BMPR1A",0.931506849315068,0.84,0.0511256119260906,0.0136224508087572,0.0323740313674239,104952
"5","6","OMG","OMG","RTN4R","RTN4R",0.232876712328767,0.386666666666667,0.0526596429185244,0.0119454680175515,0.032302555468038,104990
"3","1","PLA2G10","PLA2G10","PLA2R1","PLA2R1",0.5,0.277777777777778,-0.0334172620172844,0.0980054936346864,0.032294115808701,104993
"5","6","COL16A1","COL16A1","ITGA1_ITGB1","ITGA1",0.931506849315068,0.626666666666667,-0.142255838089519,0.206831336518132,0.0322877492143064,104996
"5","6","COL1A1","COL1A1","SDC1","SDC1",0.383561643835616,0.853333333333333,-0.380408370921619,0.444964529095996,0.0322780790871885,105001
"5","6","ADAMTS3","ADAMTS3","CCBE1","CCBE1",0.917808219178082,0.453333333333333,-0.0217769021049214,0.0862952150270376,0.0322591564610581,105012
"5","8","GDF6","GDF6","ACVR2A_BMPR1A","BMPR1A",0.914285714285714,0.173333333333333,-0.124948186872267,0.189460493655563,0.0322561533916483,105015
"5","6","INHBE","INHBE","ACVR1C_ACVR2B","ACVR1C",0.73972602739726,0.346666666666667,-0.0826644115322983,0.146854437545689,0.0320950130066953,105086
"3","6","SEMA3D","SEMA3D","NRP2_PLXNA2","PLXNA2",0.753424657534247,0.866666666666667,-0.217724327090116,0.281822413711555,0.0320490433107192,105110
"3","6","ADM2","ADM2","DCLK3","DCLK3",0.767123287671233,0.755555555555556,-0.0415665700080557,0.10561363338397,0.032023531687957,105117
"5","8","CCL16","CCL16","CCR1","CCR1",0.4,0.92,-0.163794940114171,0.227766431610375,0.0319857457481023,105134
"3","6","COL4A2","COL4A2","GP6","GP6",0.849315068493151,0.988888888888889,0.163194459874983,-0.0992597942692005,0.0319673328028913,105146
"5","6","COL17A1","COL17A1","ITGA2_ITGB1","ITGA2",0.931506849315068,0.24,-0.221256436127159,0.285148713077344,0.0319461384750929,105158
"3","6","SLIT1","SLIT1","FLRT3","FLRT3",0.863013698630137,0.644444444444444,-0.0684432138105385,0.132290799872473,0.0319237930309674,105169
"3","6","IL12B","IL12B","BOC","BOC",0.849315068493151,0.833333333333333,-0.0657625501496021,0.129602992046294,0.0319202209483461,105171
"5","8","ADAM15","ADAM15","ITGA5","ITGA5",0.457142857142857,0.546666666666667,0.0967254089077307,-0.0329308546038809,0.0318972771519249,105178
"5","1","CALM1","CALM1","GRM7","GRM7",0.533898305084746,1,-0.237011175172636,0.300666505573426,0.031827665200395,105213
"5","6","CALM2","CALM2","SCN4A","SCN4A",0.589041095890411,1,0.0361181557637025,0.0274768560135679,0.0317975058886352,105223
"3","8","CNTN6","CNTN6","NOTCH1","NOTCH1",0.542857142857143,0.366666666666667,-0.165339853569748,0.228796420385676,0.0317282834079642,105254
"3","1","TGFB1","TGFB1","ACVR1_TGFBR2","TGFBR2",0.279661016949153,0.811111111111111,-0.00227276850382201,0.0657216565086741,0.031724444002426,105258
"5","8","MAML2","MAML2","NOTCH3","NOTCH3",0.857142857142857,0.693333333333333,-0.0552686155269556,0.11863479624916,0.0316830903611023,105286
