"","IRE1_softmax","ATF6_softmax","PERK_softmax","IRE1_score","PERK_score","ATF6_score"
"102_103",0.660636847018512,0.17525188995413,0.164111263027358,0.932438204744101,-0.460221453879457,-0.39454177457736
"102_104",0.360272414992906,0.362045639315305,0.27768194569179,-0.0453885777179819,-0.305772652836504,-0.0404787519868073
"102_105",0.288760877714052,0.667162948509679,0.0440761737762688,1.20519955959186,-0.67448001400318,2.04263494342174
"102_106",0.109860867305074,0.190518107324407,0.699621025370519,-1.71903160610267,0.132292467484544,-1.16849908700396
"102_107",0.452575077108076,0.395766987773663,0.15165793511826,0.387089664692406,-0.706236442969182,0.252961622411696
"102_111",0.12414874438069,0.059044810509291,0.816806445110019,-0.564742946833394,1.31917881249391,-1.30792668921969
"102_112",0.441580227936024,0.506541289120592,0.0518784829433834,0.961738236704246,-1.1797173661864,1.09898435530629
"102_114",0.15559121118187,0.0422249178265216,0.802183870991608,-1.7102833968127,-0.0701776763899871,-3.0145050069487
"102_116",0.126039212709159,0.0851514474892763,0.788809339801565,-0.443658150557467,1.39027342266756,-0.835819814818919
"102_117",0.882956663097046,0.0533428867427887,0.0637004501601656,0.0582104047324474,-2.57087408607007,-2.74832507855001
"102_118",0.423601812255483,0.38897061539615,0.187427572348366,-0.868300170409743,-1.68370157237526,-0.953590260413496
"102_119",0.362199317891447,0.518133463174546,0.119667218934007,0.400875039406142,-0.706604907947155,0.758913237185208
"102_122",0.189382036135327,0.441494818742429,0.369123145122245,-0.653814193029477,0.013549791871859,0.192585761284538
"102_123",0.173051456147355,0.759744388408394,0.0672041554442505,-1.28261429077433,-2.22846819283976,0.19677877024177
"102_124",0.110088232912008,0.188410959066818,0.701500808021174,-1.35633883320396,0.495601056535525,-0.818995465259072
"102_125",0.403484599368679,0.188918636047471,0.407596764583851,-1.13628492327854,-1.126144879055,-1.89510681738261
"102_129",0.349258750845632,0.162498282559364,0.488242966595005,-0.530379416160827,-0.195379305774089,-1.29552503724326
"102_130",0.292041493727843,0.582018790591441,0.125939715680716,1.19095692285092,0.349864374351215,1.88056376232029
"102_131",0.648762491794535,0.15625318263882,0.194984325566645,0.716698736535342,-0.485448779310547,-0.706890295636484
"102_132",0.334660169206451,0.361118989063795,0.304220841729753,0.241929048058764,0.146567342110746,0.318020965003998
"102_134",0.668602796343348,0.0579680015838302,0.273429202072822,0.715665279499672,-0.178482147477329,-1.72963371538847
"102_135",0.175656968979236,0.665181322856878,0.159161708163886,-0.266200803621804,-0.364813139049056,1.06532581252003
"102_136",0.68538825685558,0.101988907046541,0.212622836097879,-0.327477474998186,-1.49794307743827,-2.23259889809582
"102_137",0.307873547455373,0.62321844492568,0.0689080076189467,-0.184815906190435,-1.68173265250021,0.520392046588084
