"","pseudotime","UPR_Rheostat_SD","UPR_Rheostat_Range","UPR_Rheostat_CV","UPR_Balance","Dominant_UPR"
"105_B1_580",15.2363116557776,0.223947294715271,0.443193748777777,-0.483851989015073,0.909948076678946,"IRE1_score"
"105_B1_590",14.6494048384475,0.193934087219185,0.368533279895563,-0.450363685161896,0.904558928326635,"IRE1_score"
"105_B1_599",18.6738560580127,0.200461113912659,0.358614024705208,-0.40677199802491,0.858507424567519,"IRE1_score"
"105_B1_610",19.3975291390788,1.10840019304448,2.02200688656434,5.49731804905802,0.541359204113166,"ATF6_score"
"105_B1_612",17.2429128199402,1.00453866319026,1.76234445570219,2.66320801853649,0.796951412546839,"ATF6_score"
"105_B1_615",16.0308492140231,1.89598803102449,3.7821053471351,1.56530327152965,0.697150755392175,"ATF6_score"
"105_B1_619",18.7438392926292,0.892151269296665,1.68622621602218,-7.18824388270727,0.652140831559594,"ATF6_score"
"105_B1_620",19.8124898889183,1.5795271115941,3.15586179693144,2.9750350918093,0.734198814933411,"ATF6_score"
"105_B1_624",21.0190997005966,0.921708723413843,1.70683717045135,-2.40773358983474,0.605386229557558,"IRE1_score"
"105_B1_625",18.814356857361,0.717104710623989,1.43417805762688,-1.15980654923714,0.791025130133756,"PERK_score"
"105_B1_636",16.30253430627,0.19703411220362,0.394062136802041,-0.415605613852924,0.938323335082947,"IRE1_score"
"105_B1_638",19.1758903453645,1.10451520052917,2.01511660519759,4.54187532127896,0.542149550269363,"ATF6_score"
"105_B1_639",19.7668884208743,0.857434221758547,1.54795676810991,39.5873267826959,0.808055639206557,"IRE1_score"
"105_B1_643",17.2851064104648,0.347698585717259,0.685973491634551,-0.45869271436765,0.846607484992053,"IRE1_score"
"105_B1_646",18.5419322106434,0.229538122427837,0.453874952249518,-0.437212486978929,0.928606709944553,"IRE1_score"
"105_B1_657",20.8125359687245,0.404508703472919,0.775772301369164,-0.523559809524192,0.792496904179954,"IRE1_score"
"105_B1_666",19.2908331162768,0.833828536339728,1.54952965400438,-4.72431573320538,0.628076993523341,"ATF6_score"
"105_B1_667",15.9886600471137,0.257652754470892,0.49746226209209,-0.467660059839985,0.870522989550258,"IRE1_score"
"105_B1_668",18.9655593363482,1.20102766027149,2.39570919367336,2.3872284434516,0.757152502441463,"IRE1_score"
"105_B1_676",18.9591021541978,0.977490671987476,1.78162698531041,2.45855011510207,0.797879220455574,"ATF6_score"
"105_B1_680",15.9886601630353,0.260612634835341,0.512139458459942,-0.520984468355247,0.883160487595135,"IRE1_score"
"105_B1_686",17.059235721265,0.301747439851406,0.60348356105495,-0.466204620475221,0.887543871509136,"IRE1_score"
"105_B1_689",16.8868798759003,0.98189480109188,1.74321144507212,6.90705658035203,0.483740585863267,"ATF6_score"
"105_B1_692",16.7872562063872,0.725644795586197,1.39122444372718,-17.0111769865713,0.705565327737879,"PERK_score"
"105_B1_694",19.535857522521,0.973123533038959,1.78634802570079,1.92280725162113,0.797821514352789,"ATF6_score"
"105_B1_698",17.4386263984312,0.765356434916914,1.48962669550483,2.09906776756123,0.808687806645249,"ATF6_score"
"105_B1_701",18.1730702760722,0.222233780235565,0.440922306200797,-0.387080980456308,0.913097017125365,"IRE1_score"
"105_B1_710",18.8235319084626,0.437651439572286,0.875075524880912,-0.408236126753983,0.839934741497688,"IRE1_score"
"105_B1_711",19.1936461742161,0.144242249186428,0.286441511638897,-0.324088400810575,0.968145741097823,"IRE1_score"
"105_B1_718",19.4296097477948,0.8459999851153,1.49352954938384,3.09779306824452,0.809611849169899,"ATF6_score"
"105_B1_720",27.5950635441648,0.182312062817893,0.362340558213728,-0.386550603270303,0.94008418183637,"IRE1_score"
"105_B1_722",19.6006479404075,0.294642364761534,0.575166457878413,-0.510741065676932,0.859505667956769,"IRE1_score"
"105_B1_727",19.7908469369381,0.883471755120666,1.65371555124289,-2.82967302601017,0.634315181453905,"ATF6_score"
"105_B1_730",17.7415218062177,0.89920560912911,1.65009160657269,49.9982897261002,0.58867185695464,"ATF6_score"
"105_B1_732",19.5972603447181,0.87459270560943,1.6213053083283,-32.7842861918548,0.615627906505422,"ATF6_score"
"105_B1_745",17.6747702626872,0.262119724505281,0.523818747228465,-0.398057656334049,0.907180803136113,"IRE1_score"
"105_B1_748",19.3340400127316,0.836162511408957,1.53978718429819,-7.32672310849573,0.608303260432573,"ATF6_score"
"105_B1_752",18.5957386423576,1.00492678432694,1.84356177531282,8.74788489446841,0.570536230106677,"ATF6_score"
"105_B1_758",16.1733589819467,0.22172378639395,0.443371428805736,-0.384113896513416,0.925745414840775,"IRE1_score"
"105_B1_759",18.1608174577317,0.205142528854968,0.408413411903378,-0.430097169610417,0.926558876732196,"IRE1_score"
"105_B1_767",18.8583222506533,0.138269175719856,0.264055142560013,-0.334238147626547,0.957342031583742,"IRE1_score"
"105_B1_770",15.4377463037819,0.897840300879116,1.6331727566122,-18.5926630533908,0.567902766082899,"IRE1_score"
"105_B1_776",18.3296994661381,0.994373253327488,1.77223192435874,2.16624094293626,0.797428425916698,"ATF6_score"
"105_B1_781",17.8050226766307,0.202962513586898,0.405919077734453,-0.366008702742986,0.935472276268864,"IRE1_score"
