"seurat_clusters","Ratio","Value"
"0","IRE1/ATF6",0.998861653833227
"1","PERK/IRE1",0.847806597860451
"1","PERK/ATF6",0.368346424999722
"1","IRE1/ATF6",0.434469873116454
"0","IRE1/ATF6",0.440005632484869
"0","IRE1/ATF6",0.791789343248661
"0","PERK/IRE1",0.807725759274112
"0","PERK/ATF6",8.51285262618145
"0","IRE1/ATF6",0.563419987131876
"4","IRE1/ATF6",2.49201772473024
"0","IRE1/ATF6",0.878480872019691
"0","IRE1/ATF6",0.845098606245569
"0","IRE1/ATF6",0.280487167192181
"0","PERK/IRE1",1.47710048393084
"0","PERK/ATF6",0.865837075501903
"0","IRE1/ATF6",0.586173442444313
"1","PERK/IRE1",0.585366866509868
